"Location","Type","Status","Circuit Trace","Cord IDs","Circuit ID","Creation Date","Created By","Contact","Contact Team","Request Number","Request Stage","Proposed","Notes"
"CAVCTR > FLOOR LG5 > IMC4","Power","Planned","S003251:PS1 ~ 4A33R1:Output15 - 4A33R1:Input Cord ~ PDU-A9-10L3:R1 - A9:10L3 - A9:Panel Breaker - PDU-LG5-A9:PDU Breaker - UPS BANK A:Bank Breaker","","","07/05/2019 4:49 AM","SPGKLHW","","","","","",""
"CAVCTR > FLOOR LG5 > IMC4","Power","Planned","S003251:PS2 ~ 4A33B1:Output15 - 4A33B1:Input Cord ~ PDU-B9-10L3:R1 - B9:10L3 - B9:Panel Breaker - PDU-LG5-B9:PDU Breaker - UPS BANK B:Bank Breaker","","","07/05/2019 4:47 AM","SPGKLHW","","","","","",""
"CAVCTR > FLOOR LG5 > IMC4","Power","Planned","S003248:PS2 ~ 4B33B1:Output15 - 4B33B1:Input Cord ~ PDU-B9-9L3:R1 - B9:9L3 - B9:Panel Breaker - PDU-LG5-B9:PDU Breaker - UPS BANK B:Bank Breaker","","","07/05/2019 1:01 AM","SPGKLHW","","","","","",""
"CAVCTR > FLOOR LG5 > IMC4","Power","Planned","S003248:PS1 ~ 4B33R1:Output15 - 4B33R1:Input Cord ~ PDU-A9-9L3:R1 - A9:9L3 - A9:Panel Breaker - PDU-LG5-A9:PDU Breaker - UPS BANK A:Bank Breaker","","","07/05/2019 1:01 AM","SPGKLHW","","","","","",""
"CAVCTR > FLOOR LG5 > IMC4","Power","Planned","TEMP0182 (FIREEYE):PS1 ~ 4B33R1:Output28 - 4B33R1:Input Cord ~ PDU-A9-9L3:R1 - A9:9L3 - A9:Panel Breaker - PDU-LG5-A9:PDU Breaker - UPS BANK A:Bank Breaker","","","06/24/2019 1:09 AM","SPGMCKG","","","","","",""
"CAVCTR > FLOOR LG5 > IMC4","Power","Planned","TEMP0182 (FIREEYE):PS2 ~ 4B33B1:Output28 - 4B33B1:Input Cord ~ PDU-B9-9L3:R1 - B9:9L3 - B9:Panel Breaker - PDU-LG5-B9:PDU Breaker - UPS BANK B:Bank Breaker","","","06/24/2019 1:07 AM","SPGMCKG","","","","","",""
"CAVCTR > FLOOR LG5 > IMC4","Power","Planned","N003799:PS2 ~ 4B33B1:Output05 - 4B33B1:Input Cord ~ PDU-B9-9L3:R1 - B9:9L3 - B9:Panel Breaker - PDU-LG5-B9:PDU Breaker - UPS BANK B:Bank Breaker","","","06/20/2019 11:59 PM","SPGEKY","","","","","",""
"CAVCTR > FLOOR LG5 > IMC4","Power","Planned","N003799:PS1 ~ 4B33R1:Output05 - 4B33R1:Input Cord ~ PDU-A9-9L3:R1 - A9:9L3 - A9:Panel Breaker - PDU-LG5-A9:PDU Breaker - UPS BANK A:Bank Breaker","","","06/20/2019 11:59 PM","SPGEKY","","","","","",""
"CAVCTR > FLOOR LG5 > IMC4","Power","Planned","N003862:PS2 ~ 4B33B1:Output06 - 4B33B1:Input Cord ~ PDU-B9-9L3:R1 - B9:9L3 - B9:Panel Breaker - PDU-LG5-B9:PDU Breaker - UPS BANK B:Bank Breaker","","","06/20/2019 11:39 PM","SPGKLHW","","","","","",""
"CAVCTR > FLOOR LG5 > IMC4","Power","Planned","N003862:PS1 ~ 4B33R1:Output06 - 4B33R1:Input Cord ~ PDU-A9-9L3:R1 - A9:9L3 - A9:Panel Breaker - PDU-LG5-A9:PDU Breaker - UPS BANK A:Bank Breaker","","","06/20/2019 11:38 PM","SPGKLHW","","","","","",""
"CAVCTR > FLOOR LG5 > IMC4","Power","Planned","4A18B2:Input Cord ~ PDU-B7-3L2:R1 - B7:3L2 - B7:Panel Breaker - PDU-LG5-B7:PDU Breaker - UPS BANK B:Bank Breaker","","","06/13/2019 3:33 AM","SPGNFCG","","","","","",""
"CAVCTR > FLOOR LG5 > IMC4","Power","Planned","4A18B1:Input Cord ~ PDU-B7-14L2:R1 - B7:14L2 - B7:Panel Breaker - PDU-LG5-B7:PDU Breaker - UPS BANK B:Bank Breaker","","","06/13/2019 3:32 AM","SPGNFCG","","","","","",""
"CAVCTR > FLOOR LG5 > IMC4","Power","Planned","4A18R2:Input Cord ~ PDU-A7-3L2:R1 - A7:3L2 - A7:Panel Breaker - PDU-LG5-A7:PDU Breaker - UPS BANK A:Bank Breaker","","","06/13/2019 3:31 AM","SPGNFCG","","","","","",""
