# Is used to indicate the line is a comment. 
# Fields that are required to add an item are indicated by an asterisk *.
# Additional fields required in order to put the item into the'Installed' state are indicated by a double asterisk **.
# The item's name must be unique within its Location.
# Values provided for make and model must match an entry from the dcTrack Make and Model lists.
# Values provided for location and cabinet must be an existing dcTrack Location and Cabinet.
# Depth Postion can be any unoccupied position on Front or Back auxilliary rails as viewed from cabinet rear.
# Cabinet Side can be any unoccupied position on Left or Right auxilliary rails as viewed from cabinet rear.
# U Position can be any unoccupied position on the designated rails that can accommodate the RU size of the item from this point and above.
# IP Address Port Name is used to assign the IP Address to  a specific item data port.  If omitted the IP Address will be assigned to the item's first data port.
# PX Username and PX Password are only used with Raritan Rack PDUs.
# SNMP Write Community String can be replaced by the appropriate set of SNMPv3 related columns if required.
# Status can be set to Planned (by default if blank or omitted) Installed or Storage.
# Operation *, Object *, Make*,Model*,Serial Number,Asset Tag,eAsset Tag,Name*,New Name,Alias,Type,Function,Contact,Contact Team,Customer,Status,Planned Decomm. Date,Planning Date,Location*,New Location,Location Reference,Cabinet**,U Position,Rails Used**,Orientation**,Project Number,PO Number,Purchase Price,Purchase Date,Installation Date,SLA Profile,Contract Number,Contract Amount,Contract Start Date,Contract End Date,Notes,Custom Field Request Note,Custom Field Room Sensor,IP Address,IP Address Port Name,Proxy Index,SNMP3 Enabled,SNMP3 User Name,SNMP3 Authorization Level,SNMP3 Authorization Protocol,SNMP3 Authorization PassKey,SNMP3 Privacy Protocol,SNMP3 Privacy PassKey,SNMP Write Community String,PX User Name,PX Password,Group,No. in Group,is Archived
EDIT,RACK PDU-RACKABLE,"Raritan","MPX3-129R","","","","DCIM_TEST_OBJECT-RACKABLE_PDU_R01","","","","","","","","Planned","","","CAVCTR > FLOOR LG4 > STG ROOM","","This item does not exist, which is created for DCIM testing purpose.

Note: This PDU is created by adding a new item; verified power ports are auto-created by the system.","DCIM_TEST_OBJECT-RACK01","35","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","MPX3-129R","","","","DCIM_TEST_OBJECT-RACKABLE_PDU_R02","","","","","","","","Planned","","","CAVCTR > FLOOR LG4 > STG ROOM","","This item does not exist, which is created for DCIM testing purpose.

Note: This PDU is created by cloning another test object ""with Data & Power ports cloned"". Showing all ports are created with no issue.","DCIM_TEST_OBJECT-RACK01","36","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"LG5 Temp Humidity Sensor","LG5 Temp Humidity Sensor","","","","LG5 TH33","","","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A01","Above","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","10.212.12.23","Eth01","133","false","","","","","","","power1Qread","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Emerson","uf-lts16-1p ATS","2102352190216872002F","MS010689","","MS010689","","","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A04","20","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","","","","false","","","","","","","","","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"LG5 Temp Humidity Sensor","LG5 Temp Humidity Sensor","","","","LG5 TH30","","","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A12","Above","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","10.212.12.23","Eth01","130","false","","","","","","","power1Qread","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I6C00050","","","4A17B1","","PDU-LG5-B7-14L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A17","36","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH31","10.218.77.67","Eth01","4","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I6C00052","","","4A17B2","","PDU-LG5-B7-3L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A17","37","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH31","10.218.77.67","Eth01","3","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I6C00107","","","4A17R1","","PDU-LG5-A7-14L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A17","39","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH31","10.218.77.67","Eth01","2","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I6C00095","","","4A17R2","","PDU-LG5-A7-3L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A17","40","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH31","10.218.77.67","Eth01","1","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I6C00030","","","4A19B1","","PDU-LG5-B7-14L3","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A19","36","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH31","10.218.77.69","Eth01","4","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I6C00056","","","4A19B2","","PDU-LG5-B7-3L3","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A19","37","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH31","10.218.77.69","Eth01","3","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I6C00105","","","4A19R1","","PDU-LG5-A7-14L3","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A19","39","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH31","10.218.77.69","Eth01","2","false","","","","","","","private","admin","","","0","FALSE"
