Label,MAC Address,Inlet Name,Name,Location,Manufacturer,Model,Firmware,Health,Inlet 1 L1 Current (A),Inlet 1 L2 Current (A),Inlet 1 L3 Current (A),Active Power (W),Apparent Power (VA),Inlet Temperature (C),Belongs to
10.212.4.4 - 1,00:0d:5d:0f:87:11,"",3W01R1,,Raritan,PX3-1842V-K1,3.4.0.5-44367,Good,1.893,,,392.0,416.0,,3W01
10.212.4.4 - 2,,"",3W01B1,,Raritan,PX3-1842V-K2,3.4.0.5-44367,Good,1.167,,,196.0,256.0,,3W01
10.212.4.5 - 1,00:0d:5d:10:db:18,"",3S01R1,,Raritan,PX3-1842V-K1,3.4.0.5-44367,Critical,0.467,,,65.0,103.0,,3S01
10.212.4.5 - 2,,"",3S01B1,,Raritan,PX3-1842V-K2,3.4.0.5-44367,Good,0.486,,,72.0,107.0,,3S01
10.212.4.6 - 1,00:0d:5d:10:db:17,"",3S02B1,,Raritan,PX3-1842V-K2,3.4.0.5-44367,Good,0.153,,,22.0,34.0,,3S02
10.212.4.6 - 2,,"",3S02R1,,Raritan,PX3-1842V-K1,3.4.0.5-44367,Good,0.129,,,17.0,28.0,,3S02
10.212.4.7 - 1,00:0d:5d:0f:87:d2,"",3S03R1,,Raritan,PX3-1842V-K1,3.4.0.5-44367,Good,0.0,,,,,,3S03
10.212.4.7 - 2,,"",3S03B1,,Raritan,PX3-1842V-K2,3.4.0.5-44367,Good,0.0,,,,,,3S03
10.212.4.8 - 1,00:0d:5d:0f:88:23,"",3S04B1,,Raritan,PX3-1842V-K2,3.4.0.5-44367,Critical,0.0,,,,,,3S04
10.212.4.8 - 2,,"",3S04R1,,Raritan,PX3-1842V-K1,3.4.0.5-44367,Good,0.0,,,,,,3S04
10.212.12.21 - 1,,,AC-01,unknown,1F InRow Fan,InRow Fan,,Warning,,,,,,,IMC3
10.212.12.21 - 2,,,AC-02,unknown,1F InRow Fan,InRow Fan,,Warning,,,,,,,IMC3
10.212.12.21 - 3,,,AC-03,unknown,1F InRow Fan,InRow Fan,,Warning,,,,,,,IMC3
10.212.12.21 - 4,,,AC-04,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 5,,,AC-05,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 6,,,AC-06,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 7,,,AC-07,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 8,,,AC-08,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 9,,,AC-09,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 10,,,AC-10,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 11,,,AC-B1,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 12,,,AC-B2,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 13,,,AC-B3,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 14,,,AC-B4,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 15,,,AC-B5,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 16,,,AC-B6,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 17,,,AC-B7,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 18,,,AC-B8,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 19,,,AC-B9,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 20,,,AC-B10,unknown,1F InRow Fan,InRow Fan,,Good,,,,,,,IMC3
10.212.12.21 - 113,,,TS-13,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,24.3,3B42
10.212.12.21 - 116,,,TS-16,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,23.9,3B59
10.212.12.21 - 117,,,TS-17,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,22.8,3A63
10.212.12.21 - 118,,,TS-18,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,26.4,3B69
10.212.12.21 - 119,,,TS-19,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,25.4,3A42
10.212.12.21 - 120,,,TS-20,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,21.8,3B47
10.212.12.21 - 121,,,TS-21,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,21.9,3B53
10.212.12.21 - 124,,,TS-24,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,24.9,3A69
10.212.12.21 - 125,,,TS-25,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,25.6,3B01
10.212.12.21 - 126,,,TS-26,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,23.2,3B27
10.212.12.21 - 127,,,TS-27,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,23.4,3B30
10.212.12.21 - 128,,,TS-28,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,22.3,3A36
10.212.12.21 - 129,,,TS-29,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,22.9,3A38
10.212.12.21 - 130,,,TS-30,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,26.4,3A31
10.212.12.21 - 131,,,TS-31,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,25.0,3A01
10.212.12.21 - 132,,,TS-32,unknown,1F Temp Humidity Sensor,1F Temp Humidity Sensor,,Good,,,,,,23.3,3B07
